시각,상태,메시지
2026-09-13 16:55:36,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:55:37,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:55:38,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:55:39,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:55:40,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:55:41,IDLE,실린더 후진 완료 - 1번째 사이클 종료
2026-09-13 16:55:42,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:55:43,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:55:44,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:55:45,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:55:46,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:55:52,IDLE,실린더 후진 완료 - 2번째 사이클 종료
2026-09-13 16:55:53,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:55:54,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:55:55,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:55:56,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:55:57,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:55:58,IDLE,실린더 후진 완료 - 3번째 사이클 종료
2026-09-13 16:55:59,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:56:00,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:56:01,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:30,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:58:31,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:58:32,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:33,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:58:34,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:58:35,IDLE,실린더 후진 완료 - 1번째 사이클 종료
2026-09-13 16:58:36,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:58:37,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
2026-09-13 16:58:38,STOPPED,센서1 ON - 부품 감지됨
2026-09-13 16:58:39,PUSHING,정지 위치 도달 - 컨베이어 정지
2026-09-13 16:58:40,RETURNING,실린더 전진 - 부품 배출
2026-09-13 16:58:41,IDLE,실린더 후진 완료 - 2번째 사이클 종료
2026-09-13 16:58:42,MOVING,부품 도착 감지 - 컨베이어 구동 시작
2026-09-13 16:58:43,DETECTED,컨베이어 구동 중 - 센서 위치로 이동 중
